Date.Collected,Tube.Number,Species,Tag.Number,Colony.ID,Origin,Treatment,Gamete,Vol,Notes
20201007,77,A.pulchra,241,Apul_241,Mahana,Outplanted,Sperm,NA,None left from crosses
20201007,78,A.pulchra,241,Apul_241,Mahana,Outplanted,Sperm,NA,None left from crosses
20201007,79,A.pulchra,241,Apul_241,Mahana,Outplanted,Sperm,NA,None left from crosses
20201007,80,A.pulchra,241,Apul_241,Mahana,Outplanted,Sperm,NA,None left from crosses
20201009,253,A.pulchra,76,Apul_76,Mahana,Wild,Eggs,250uL,
20201009,254,A.pulchra,76,Apul_76,Mahana,Wild,Eggs,250uL,
20201009,255,A.pulchra,76,Apul_76,Mahana,Wild,Eggs,250uL,
20201009,256,A.pulchra,204,Apul_204,Mahana,Wild,Eggs,250uL,
20201009,257,A.pulchra,204,Apul_204,Mahana,Wild,Eggs,250uL,
20201009,258,A.pulchra,204,Apul_204,Mahana,Wild,Eggs,250uL,
20201009,259,A.pulchra,208,Apul_208,Mahana,Wild,Eggs,250uL,
20201009,260,A.pulchra,208,Apul_208,Mahana,Wild,Eggs,250uL,
20201009,261,A.pulchra,208,Apul_208,Mahana,Wild,Eggs,250uL,
20201009,262,A.pulchra,234,Apul_234,Mahana,Wild,Eggs,250uL,
20201009,263,A.pulchra,234,Apul_234,Mahana,Wild,Eggs,250uL,
20201009,264,A.pulchra,234,Apul_234,Mahana,Wild,Eggs,250uL,
20201009,265,A.pulchra,178,Apul_178,Manava,Outplant,Eggs,250uL,
20201009,266,A.pulchra,178,Apul_178,Manava,Outplant,Eggs,250uL,
20201009,267,A.pulchra,178,Apul_178,Manava,Outplant,Eggs,250uL,
20201009,268,A.pulchra,173,Apul_173,Manava,Outplant,Eggs,250uL,
20201009,269,A.pulchra,173,Apul_173,Manava,Outplant,Eggs,250uL,
20201009,270,A.pulchra,173,Apul_173,Manava,Outplant,Eggs,250uL,
20201009,271,A.pulchra,66,Apul_66,Linareva,Wild,Sperm,1000uL,
20201009,272,A.pulchra,66,Apul_66,Linareva,Wild,Sperm,1000uL,
20201009,273,A.pulchra,66,Apul_66,Linareva,Wild,Sperm,1000uL,
20201009,274,A.pulchra,173,Apul_173,Manava,Outplant,Sperm,1000uL,
20201009,275,A.pulchra,173,Apul_173,Manava,Outplant,Sperm,1000uL,
20201009,276,A.pulchra,173,Apul_173,Manava,Outplant,Sperm,1000uL,
20201009,277,A.pulchra,178,Apul_178,Manava,Outplant,Sperm,1000uL,
20201009,278,A.pulchra,178,Apul_178,Manava,Outplant,Sperm,1000uL,
20201009,279,A.pulchra,178,Apul_178,Manava,Outplant,Sperm,1000uL,
20201009,280,A.pulchra,73,Apul_73,Linareva,Wild,Sperm,1000uL,
20201009,281,A.pulchra,73,Apul_73,Linareva,Wild,Sperm,1000uL,
20201009,282,A.pulchra,73,Apul_73,Linareva,Wild,Sperm,1000uL,
20201009,283,A.pulchra,241,Apul_241,Mahana,Outplant,Sperm,1000uL,
20201009,284,A.pulchra,241,Apul_241,Mahana,Outplant,Sperm,1000uL,
20201009,285,A.pulchra,241,Apul_241,Mahana,Outplant,Sperm,1000uL,
20201009,286,A.pulchra,208,Apul_208,Mahana,Wild,Sperm,1000uL,
20201009,287,A.pulchra,208,Apul_208,Mahana,Wild,Sperm,1000uL,
20201009,288,A.pulchra,208,Apul_208,Mahana,Wild,Sperm,1000uL,
20201009,289,A.pulchra,234,Apul_234,Mahana,Outplant,Sperm,1000uL,
20201009,290,A.pulchra,234,Apul_234,Mahana,Outplant,Sperm,1000uL,
20201009,291,A.pulchra,234,Apul_234,Mahana,Outplant,Sperm,1000uL,
20201009,292,A.pulchra,76,Apul_76,Mahana,Wild,Sperm,1000uL,
20201009,293,A.pulchra,76,Apul_76,Mahana,Wild,Sperm,1000uL,
20201009,294,A.pulchra,76,Apul_76,Mahana,Wild,Sperm,1000uL,
20201009,295,A.pulchra,204,Apul_204,Mahana,Wild,Sperm,1000uL,
20201009,296,A.pulchra,204,Apul_204,Mahana,Wild,Sperm,1000uL,
20201009,297,A.pulchra,204,Apul_204,Mahana,Wild,Sperm,1000uL,
20201009,325,A.pulchra,241,Apul_241,Mahana,Outplant,Eggs,250uL,
20201009,326,A.pulchra,241,Apul_241,Mahana,Outplant,Eggs,250uL,
20201009,327,A.pulchra,241,Apul_241,Mahana,Outplant,Eggs,250uL,
20201009,328,A.pulchra,66,Apul_66,Linareva,Wild,Eggs,250uL,
20201009,329,A.pulchra,66,Apul_66,Linareva,Wild,Eggs,250uL,
20201009,330,A.pulchra,66,Apul_66,Linareva,Wild,Eggs,250uL,
20201009,331,A.pulchra,73,Apul_73,Linareva,Wild,Eggs,250uL,
20201009,332,A.pulchra,73,Apul_73,Linareva,Wild,Eggs,250uL,
20201009,333,A.pulchra,73,Apul_73,Linareva,Wild,Eggs,250uL,
20201011,163,A.pulchra,71,Apul_71,Linareva,Wild,Eggs,250uL,
20201011,164,A.pulchra,71,Apul_71,Linareva,Wild,Eggs,250uL,
